Ticker,Company,Sector,Price ($),52W High ($),52W Low ($),% From 52W High,1D Return (%),1W Return (%),1M Return (%),3M Return (%),6M Return (%),1Y Return (%),SMA 20,SMA 50,SMA 200,vs SMA50 (%),vs SMA200 (%),MA Signal,RSI (14),RSI Signal,Vol Today (M),Vol Avg 1W (M),Vol Avg 1M (M),Vol Avg 3M (M),Vol Ratio (vs 1M),Market Cap ($B),P/E Ratio,EPS (TTM),EPS Forward,EPS Growth YoY (%),Revenue Growth YoY (%),PEG Ratio,Revenue ($B),Profit Margin (%),Dividend Yield (%),Beta,Value Score,Momentum Score,Composite Score,Rank,Signal
SPY,State Street SPDR S&P 500 ETF T,N/A,754.16,760.4,591.05,-0.8,0.0,-0.06,4.2,10.99,11.29,27.97,744.83,709.82,680.45,6.25,10.83,Golden Cross,61.4,Neutral,17.55,37.85,44.89,66.67,0.39,N/A,28.33,N/A,N/A,0.0,0.0,N/A,N/A,0.0,103.0,N/A,39.3,9.7,21.5,10,HOLD / NEUTRAL
AAPL,Apple Inc.,Technology,310.04,316.94,195.07,-2.2,0.0,-0.79,9.2,19.22,8.53,53.13,302.02,278.79,263.97,11.21,17.45,Golden Cross,63.6,Neutral,23.73,47.05,46.27,44.22,0.51,4553.67,37.54,8.26,9.61,21.8,16.6,2.72,451.44,27.15,34.0,1.06,56.8,13.3,30.7,9,HOLD / NEUTRAL
META,"Meta Platforms, Inc.",Communication Services,616.03,796.25,520.26,-22.6,0.0,-3.03,1.83,-6.66,-4.64,-7.33,612.83,618.73,663.19,-0.44,-7.11,Death Cross,49.7,Neutral,10.72,18.92,15.28,16.15,0.7,1563.74,22.41,27.49,36.16,62.4,33.1,0.91,214.96,32.84,35.0,1.24,80.1,3.7,34.3,7,BEARISH
GOOG,Alphabet Inc.,Communication Services,356.93,404.47,163.33,-11.8,0.0,-7.56,-7.11,18.7,13.1,113.56,384.67,348.74,301.83,2.35,18.26,Golden Cross,12.1,Oversold,21.93,28.87,19.85,19.45,1.1,4324.91,27.21,13.12,14.5,82.0,21.8,1.48,422.5,37.92,25.0,1.27,73.2,8.9,34.6,6,HOLD / NEUTRAL
MSFT,Microsoft Corporation,Technology,424.94,555.45,356.28,-23.5,0.0,-0.48,3.52,3.7,-12.89,-7.48,421.47,405.57,455.3,4.78,-6.67,Death Cross,58.7,Neutral,19.26,47.32,35.68,34.3,0.54,3156.64,25.34,16.77,19.34,23.4,18.3,1.42,318.27,39.34,82.0,1.09,84.7,5.7,37.3,5,BEARISH
NVDA,NVIDIA Corporation,Technology,215.26,236.54,138.83,-9.0,0.0,0.47,9.54,17.41,18.64,52.46,218.91,202.06,188.23,6.53,14.36,Golden Cross,42.0,Neutral,92.02,186.1,169.9,165.3,0.54,5214.37,32.97,6.53,12.63,214.5,85.2,0.69,253.49,62.97,45.0,2.24,86.1,13.7,42.7,3,HOLD / NEUTRAL
TSM,Taiwan Semiconductor Manufactur,Technology,436.98,450.16,200.38,-2.9,0.0,2.85,10.79,23.84,50.43,123.87,413.43,385.65,323.38,13.31,35.13,Golden Cross,64.9,Neutral,6.19,10.89,12.97,13.54,0.48,2266.18,37.35,11.7,19.52,58.4,35.1,1.35,4103.9,46.51,85.0,1.26,69.7,18.8,39.2,4,HOLD / NEUTRAL
LLY,Eli Lilly and Company,Healthcare,1086.48,1149.1,623.78,-5.4,0.0,-3.58,10.06,10.69,4.21,45.74,1031.51,963.25,940.55,12.79,15.52,Golden Cross,64.2,Neutral,1.0,3.06,3.07,3.08,0.33,968.86,38.53,28.2,44.47,169.9,55.5,1.45,72.25,34.99,65.0,0.48,64.5,11.5,32.7,8,HOLD / NEUTRAL
AMD,"Advanced Micro Devices, Inc.",Technology,531.68,544.04,114.71,-2.3,0.0,2.62,49.66,166.58,147.02,353.23,465.41,347.23,242.68,53.12,119.09,Golden Cross,72.7,Overbought,16.41,27.23,37.78,37.26,0.43,866.75,176.01,3.02,13.01,91.2,37.8,1.23,37.45,13.37,0.0,2.4,32.8,71.4,56.0,2,CAUTION – Overbought
MU,"Micron Technology, Inc.",Technology,1059.76,1088.71,101.7,-2.7,0.0,14.75,65.54,167.02,342.87,938.92,821.49,595.3,352.54,78.02,200.61,Golden Cross,73.7,Overbought,22.23,45.21,54.62,48.04,0.41,1195.14,50.04,21.18,106.17,756.0,196.3,0.36,58.12,41.49,6.0,1.92,65.0,100.0,86.0,1,CAUTION – Overbought
TSLA,"Tesla, Inc.",Consumer Cyclical,421.5,498.83,273.21,-15.5,0.0,-4.66,8.25,3.93,-1.8,22.43,425.82,394.44,413.41,6.86,1.96,Death Cross,39.7,Neutral,27.4,37.48,49.87,59.59,0.55,1583.04,383.18,1.1,2.51,8.3,15.8,5.73,97.88,3.95,0.0,1.79,15.5,8.7,11.4,11,BEARISH
